key,en,zh-Hans
general:indicator,Indicator,指标
general:indicators,Indicators,指标
general:goal,Goal,目标
general:goals,Goals,目标
general:sdg,Sustainable Development Goals,可持续发展目标
general:home,Home,首页
general:loading,Loading search results,加载搜索结果
general:opens_new_window,opens in a new window,在新窗口中打开
general:hide,hide,隐藏
general:target,Target,目标
general:targets,Targets,目标
general:twitter,Twitter,Twitter
general:facebook,Facebook,Facebook
general:built_using_open_sdg,Built using Open SDG,使用 Open SDG构建
general:page,Page,网页
general:pages,Pages,网页
header:skip_link,Skip to main content,跳到主要内容
header:alpha,Alpha,Alpha
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",这是一个发展中的网站。欢迎您向我们发送反馈意见。
header:tag_line,17 Goals to Transform our World,变革世界的17个目标
header:high_contrast,High contrast,高对比度
header:default_contrast,Default contrast,默认对比
header:enable_high_contrast,Enable high contrast,启用高对比度
header:disable_high_contrast,Disable high contrast,禁用高对比度
search:search,Search,搜索
search:indicator_search,Indicator search,指标搜索
search:search_results_for,Search results for,搜索结果
search:found_in,found in,找到
search:keywords,Keywords,关键字
search:no_results,No results,无搜索结果
search:did_you_mean,did you mean,你的意思是
menu:menu,Menu,目录
menu:reporting_status,Reporting Status,上报状况
menu:about,About,关于
menu:publications,Publications,出版物
menu:guidance,Guidance,指引
menu:faq,FAQ,常见问题解答
menu:contact_us,Contact us,联系我们
menu:cookies,Cookies,Cookies
menu:updates,Updates,
metadata_fields:other_info,Other information,其他资料
metadata_fields:computation_calculations,Calculations,计算
metadata_fields:computation_definitions,Definitions,定义
metadata_fields:computation_units,Unit of measurement,计量单位
metadata_fields:goal_meta_link,Link to UN metadata,连接到联合国元数据
metadata_fields:indicator,Indicator number,指标数字
metadata_fields:indicator_definition,Global indicator description,全球指标描述
metadata_fields:indicator_name,Indicator name,指标名称
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),指标显示顺序（在目标页面内）
metadata_fields:national_data_update_url,Data last updated,数据最后更新时间
metadata_fields:national_geographical_coverage,Geographical coverage,地域覆盖范围
